pair_id,trajectory_state_index,stage,manipulation_critical,clean_disagreement,perturbed_disagreement,disagreement_delta,perturbed_over_clean_ratio,counterexample,eef_object_distance_m,object_lift_height_m,object_target_xy_distance_m,clean_visible_pixels_mean,perturbed_visible_pixels_mean,visibility_gain_fraction,clean_min_visibility_view,largest_visibility_gain_view,largest_rgb_change_view,clean_max_action_disagreement_view,perturbed_max_action_disagreement_view,largest_matched_action_response_view,rgb_change_fraction_mean,rgb_pixel_fraction_change_over_10_mean
0,8,far_approach,False,0.12628859281539917,0.10142527520656586,-0.024863317608833313,0.8031230132940276,True,0.3564638700922104,0.0,0.11693424394333343,736.8,742.6,0.007871878393051146,yaw_p015,nominal,yaw_m030,yaw_m015,yaw_m015,yaw_m015,0.0039312145756740195,0.0153533935546875
1,9,far_approach,False,0.13095957040786743,0.11060874164104462,-0.020350828766822815,0.8446022027757031,True,0.35007386539712276,0.0,0.11693424394333343,736.6,742.4,0.007874015748031482,yaw_p015,nominal,yaw_m030,yaw_m015,yaw_m015,yaw_m015,0.0039312145756740195,0.0153533935546875
2,10,far_approach,False,0.14244356751441956,0.12148591876029968,-0.020957648754119873,0.8528705148303848,True,0.34395682645314446,0.0,0.11693424394333343,737.0,742.8,0.007869742198100438,yaw_p015,nominal,yaw_m030,yaw_m015,yaw_m015,yaw_m015,0.0039312145756740195,0.0153533935546875
3,12,far_approach,False,0.1463526487350464,0.15028852224349976,0.003935873508453369,1.0268930801216916,False,0.33282074191895905,0.0,0.11693424394333343,736.8,742.6,0.007871878393051146,yaw_p015,nominal,yaw_m030,yaw_m015,yaw_m015,nominal,0.0039312145756740195,0.0153533935546875
4,13,far_approach,False,0.14352667331695557,0.1626981794834137,0.01917150616645813,1.1335745177073877,False,0.32752956274409545,0.0,0.11693424394333343,736.6,742.4,0.007874015748031482,yaw_p015,nominal,yaw_m030,yaw_p015,yaw_m015,yaw_p030,0.0039312145756740195,0.0153533935546875
5,14,far_approach,False,0.1427798867225647,0.15966662764549255,0.016886740922927856,1.1182711466618576,False,0.32237917544143446,0.0,0.11693424394333343,736.6,742.4,0.007874015748031482,yaw_p015,nominal,yaw_m030,yaw_m030,yaw_m030,yaw_p030,0.0039312145756740195,0.0153533935546875
6,16,far_approach,False,0.17229577898979187,0.17391091585159302,0.0016151368618011475,1.0093742102753245,False,0.3119521113850581,0.0,0.11693424394333343,736.8,742.6,0.007871878393051146,yaw_p015,nominal,yaw_m030,yaw_m030,yaw_m030,nominal,0.0039312145756740195,0.0153533935546875
7,17,far_approach,False,0.17823389172554016,0.16555100679397583,-0.012682884931564331,0.9288413398328612,True,0.3058033456049351,0.0,0.11693424394333343,736.8,742.6,0.007871878393051146,yaw_p015,nominal,yaw_m030,nominal,yaw_p015,nominal,0.0039312145756740195,0.0153533935546875
8,18,far_approach,False,0.16853076219558716,0.15569287538528442,-0.012837886810302734,0.9238246677161299,True,0.29844543873621054,0.0,0.11693424394333343,736.8,742.6,0.007871878393051146,yaw_p015,nominal,yaw_m030,nominal,yaw_p015,nominal,0.0039312145756740195,0.0153533935546875
9,20,far_approach,False,0.19705958664417267,0.16285134851932526,-0.03420823812484741,0.8264066280286243,True,0.2805880512718774,0.0,0.11693424394333343,736.6,742.4,0.007874015748031482,yaw_p015,nominal,yaw_m030,nominal,yaw_p015,nominal,0.0039312145756740195,0.0153533935546875
10,21,far_approach,False,0.18668195605278015,0.1656453162431717,-0.02103663980960846,0.8873129452122259,True,0.27061387773612006,0.0,0.11693424394333343,736.6,742.4,0.007874015748031482,yaw_p015,nominal,yaw_m030,yaw_p015,yaw_p015,yaw_m030,0.0039312145756740195,0.0153533935546875
11,22,far_approach,False,0.17832161486148834,0.19106662273406982,0.012745007872581482,1.0714720303676095,False,0.2602242766026234,0.0,0.11693424394333343,736.8,742.6,0.007871878393051146,yaw_p015,nominal,yaw_m030,yaw_p030,nominal,yaw_p015,0.0039312145756740195,0.0153533935546875
12,23,far_approach,False,0.16524450480937958,0.17682544887065887,0.011580944061279297,1.0700836864417287,False,0.25001274809849633,0.0,0.11693424394333343,731.2,742.8,0.015864332603938713,yaw_m030,nominal,yaw_m030,yaw_p030,yaw_p015,yaw_p015,0.0039312145756740195,0.0153533935546875
13,25,far_approach,False,0.1543988138437271,0.1324983835220337,-0.02190043032169342,0.8581567450132118,True,0.23090602796150544,0.0,0.11693424394333343,722.6,742.6,0.02767783005812352,yaw_m030,yaw_m030,yaw_m030,yaw_p030,yaw_p030,yaw_m030,0.0039312145756740195,0.0153533935546875
14,26,far_approach,False,0.16738490760326385,0.12854048609733582,-0.03884442150592804,0.7679335487163682,True,0.22166049190319048,0.0,0.11693424394333343,720.0,742.4,0.03111111111111109,yaw_m030,yaw_m030,yaw_m030,yaw_p030,yaw_p030,yaw_m030,0.0039312145756740195,0.0153533935546875
15,27,far_approach,False,0.1822088658809662,0.14114601910114288,-0.0410628467798233,0.7746385908211023,True,0.21234515004221846,0.0,0.11693424394333343,716.6,740.6,0.03349148758024012,yaw_m030,yaw_m030,yaw_m030,yaw_p030,yaw_p030,yaw_m030,0.0039312145756740195,0.0153533935546875
16,29,far_approach,False,0.1978311389684677,0.1521708369255066,-0.04566030204296112,0.7691955761815691,True,0.19236591748737528,0.0,0.11693424394333343,695.6,738.0,0.06095457159286943,yaw_m030,yaw_m030,nominal,yaw_p030,yaw_p030,yaw_m030,0.0038855100145526963,0.01510009765625
